
2021-07-13 09:59:58.353505	[STRAT SERVER:	___RUN__SERVER___]
2021-07-13 10:00:40.843344	[NEW_CONNECT:	ip address: ('192.168.0.14', 33202)]
2021-07-13 10:00:40.853050	[CREATE NEW TASK:	thread_id : <_MainThread(MainThread, started -1212135680)>]
2021-07-13 10:00:40.854666	[EXECUTE METHOD TYPE TASK:	: 1]
2021-07-13 10:00:40.997048	[EXECUTE NEW TASK:	processing current request]
2021-07-13 10:00:40.997448	[CLOSE CONNECTION WITH CLIENT:	ip address: ('192.168.0.14', 33202)]
2021-07-13 10:00:43.867993	[NEW_CONNECT:	ip address: ('192.168.0.14', 33204)]
2021-07-13 10:00:43.871228	[CREATE NEW TASK:	thread_id : <_MainThread(MainThread, started -1212135680)>]
2021-07-13 10:00:43.872534	[EXECUTE METHOD TYPE TASK:	: 9]
2021-07-13 10:00:43.924720	[EXECUTE NEW TASK:	processing current request]
2021-07-13 10:00:43.925005	[CLOSE CONNECTION WITH CLIENT:	ip address: ('192.168.0.14', 33204)]
2021-07-13 10:01:02.821947	[NEW_CONNECT:	ip address: ('192.168.0.14', 33206)]
2021-07-13 10:01:02.823928	[CREATE NEW TASK:	thread_id : <_MainThread(MainThread, started -1212135680)>]
2021-07-13 10:01:02.825390	[EXECUTE METHOD TYPE TASK:	: 3]
2021-07-13 10:01:02.963079	[EXECUTE NEW TASK:	processing current request]
2021-07-13 10:01:02.963283	[CLOSE CONNECTION WITH CLIENT:	ip address: ('192.168.0.14', 33206)]
2021-07-13 10:01:08.097953	[NEW_CONNECT:	ip address: ('192.168.0.14', 33208)]
2021-07-13 10:01:08.100398	[CREATE NEW TASK:	thread_id : <_MainThread(MainThread, started -1212135680)>]
2021-07-13 10:01:08.101544	[EXECUTE METHOD TYPE TASK:	: 9]
2021-07-13 10:01:08.144088	[EXECUTE NEW TASK:	processing current request]
2021-07-13 10:01:08.144325	[CLOSE CONNECTION WITH CLIENT:	ip address: ('192.168.0.14', 33208)]
2021-07-13 10:01:21.524962	[CLOSE CONNECTION WITH CLIENT:	KeyboardInterrupt task]
